state_ut,district,total_crimes,risk_score,risk_label,crime_rate
BIHAR,KISHANGANJ,29555.0,0.0011559154083465267,medium,0.005430884801479156
BIHAR,LAKHISARAI,27027.0,0.0010570436725217925,medium,0.004966351667385456
BIHAR,MADHEPURA,37184.0,0.0014542905952954577,medium,0.006832753187555437
BIHAR,MADHUBANI,91316.0,0.0035714285714285718,high,0.01677978942757133
BIHAR,MOTIHARI,129486.0,0.005064282272548075,high,0.023793725237838945
BIHAR,MUNGER,49072.0,0.0019192380618636695,high,0.009017234951046697
BIHAR,MUZAFFARPUR,152306.0,0.005956787419510272,high,0.02798701879797274
BIHAR,MUZAFFARPUR RLY.,18086.0,0.0007073553062207844,low,0.003323396464880799
BIHAR,NALANDA,98076.0,0.0038358165991877495,high,0.0180219745488029
BIHAR,NAUGACHIA,27745.0,0.0010851251228074566,medium,0.005098287897717448
BIHAR,NAWADAH,48016.0,0.0018779372101900467,high,0.008823189464653125
BIHAR,PATNA,323196.0,0.01264040725142832,high,0.05938894414815961
BIHAR,PATNA RLY.,33747.0,0.0013198672740812125,low,0.0062011865807990885
BIHAR,PURNEA,67846.0,0.0026535014987202994,high,0.012467054990396034
BIHAR,ROHTAS,90651.0,0.0035454199858575867,high,0.016657592222598102
BIHAR,SAHARSA,43523.0,0.0017022130373021784,high,0.007997577371503207
BIHAR,SAMASTIPUR,90612.0,0.0035438946703128227,high,0.016650425769975614
BIHAR,SARAN,102975.0,0.004027419698003166,high,0.01892219125130489
BIHAR,SHEIKHPURA,22337.0,0.000873614700600114,medium,0.0041045398007321906
BIHAR,SHEOHAR,12798.0,0.0005005381626127169,medium,0.0023516989913493565
BIHAR,SITAMARHI,75895.0,0.002968303160766694,high,0.013946100558560668
BIHAR,SIWAN,65641.0,0.002567262504458615,medium,0.012061874784432186
BIHAR,SUPAUL,44193.0,0.0017284171761481324,high,0.008120693352453674
BIHAR,TOTAL,2924964.0,0.11439725787375707,high,0.5374773314997014
BIHAR,VAISHALI,108013.0,0.0042244591778627435,high,0.01984794992597422
Bihar,ARARIA,6051.0,0.0002366585733684599,low,0.0011119026876586153
Bihar,ARWAL,1980.0,7.743909688804341e-05,low,0.00036383528698794547
Bihar,AURANGABAD,8049.0,0.0003148016620463946,low,0.001479045568164633
Bihar,BAGAHA,4418.0,0.0001727908737633211,low,0.0008118304534912844
Bihar,BANKA,4478.0,0.00017513751306295878,low,0.0008228557652181918
Bihar,BEGUSARAI,11597.0,0.00045356626596496937,low,0.0021310090016157593
Bihar,BETTIAH,11425.0,0.000446839233306008,low,0.002099403107998625
Bihar,BHABHUA,4102.0,0.0001604319067852293,medium,0.0007537638117295719
Bihar,BHAGALPUR,7890.0,0.00030858306790235477,low,0.0014498284920883282
Bihar,BHOJPUR,10564.0,0.00041316495935620737,medium,0.001941189884717503
Bihar,BUXAR,6247.0,0.00024432426174727633,low,0.0011479187059665128
Bihar,DARBHANGA,12426.0,0.00048598899895496326,medium,0.0022833420586425303
Bihar,GAYA,17490.0,0.0006840453558443835,medium,0.0032138783683935183
Bihar,GOPALGANJ,8199.0,0.00032066826029548886,medium,0.0015066088474819015
Bihar,JAMALPUR RLY.,836.0,3.269650757495166e-05,low,0.00015361934339491032
Bihar,JAMUI,4252.0,0.0001662985050343235,low,0.0007813270910468405
Bihar,JEHANABAD,4334.0,0.00016950557874382833,low,0.000796395017073614
Bihar,KATIHAR,8022.0,0.00031374567436155763,medium,0.0014740841778875244
Bihar,KATIHAR RLY.,686.0,2.6829909325857464e-05,low,0.00012605606407764173
Bihar,KHAGARIA,5308.0,0.00020759935670794662,low,0.0009753725774404114
Bihar,KISHANGANJ,3938.0,0.00015401775936621964,low,0.0007236279596760249
Bihar,LAKHISARAI,2935.0,0.00011478977240727646,medium,0.0005393214986412222
Bihar,MADHEPURA,5956.0,0.00023294306114403363,medium,0.0010944459440910118
Bihar,MADHUBANI,10047.0,0.0003929447507243293,low,0.0018461884486706507
Bihar,MOTIHARI,17598.0,0.0006882693065837313,medium,0.003233723929501952
Bihar,MUNGER,4819.0,0.00018847424641589957,low,0.0008855162868661158
Bihar,MUZAFFARPUR,20358.0,0.0007962147143670644,medium,0.003740888268939694
Bihar,MUZAFFARPUR RLY.,1553.0,6.0738847205621914e-05,low,0.0002853718185314542
Bihar,NALANDA,12194.0,0.00047691532699636435,medium,0.0022407108532984886
Bihar,NAUGACHIA,3323.0,0.00012996470654493344,low,0.0006106185144752237
Bihar,NAWADAH,6492.0,0.00025390637222079686,medium,0.0011929387288513848
Bihar,PATNA,41859.0,0.0016371329073922268,high,0.007691808726276975
Bihar,PATNA RLY.,2997.0,0.00011721463301690206,low,0.0005507143207590265
Bihar,PURNEA,8510.0,0.00033283167399861073,medium,0.0015637567132663717
Bihar,ROHTAS,10592.0,0.0004142600576960382,medium,0.0019463350301900599
Bihar,SAHARSA,6102.0,0.00023865321677315194,medium,0.0011212742026264866
Bihar,SAMASTIPUR,12353.0,0.00048313392114040414,medium,0.002269927929374793
